Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
811,122222223000000616150000000,333334029170000000,11111111555557552710000000,666668847320000000,11111112777778452410000000,1777778833370000000,333335309160000000,333346306220000000
812,122222223000000616140000000,333334029000000000,11111111444446444110000000,666668847150000000,11111112777778451000000000,1777778833370000000,333335309160000000,333346306220000000
813,122222223000000616140000000,333334028000000000,11111111444446444110000000,666668846020000000,11111112777778450230000000,1777778832970000000,333335307760000000,333346306220000000
814,122222223000000616140000000,333334029200000000,11111111444446444110000000,666668846020000000,11111112777778448770000000,1777778832140000000,333335307760000000,333346306110000000
815,122222223000000616140000000,333334027620000000,11111111444446443870000000,666668832950000000,11111112777778448770000000,1777778832140000000,333335307670000000,333346306000000000
816,122222223000000616140000000,333334027590000000,11111111444446443870000000,666668832950000000,11111112777778448460000000,1666667721150000000,333335306190000000,333346306000000000
817,122222223000000615840000000,333334027590000000,11111111444446443870000000,666668830630000000,11111112777778448460000000,1666667721150000000,333335306190000000,333346306000000000
818,122222223000000615430000000,333334027590000000,11111111444446442880000000,666668830630000000,11111112777778448460000000,1666667709950000000,333335306190000000,333346304570000000
819,122222223000000615430000000,333334026020000000,11111111444446442880000000,666668829670000000,11111112777778448460000000,1666667709950000000,333335306190000000,333346304570000000
820,122222223000000614340000000,333334026020000000,11111111444446442880000000,666668829340000000,11111112777778448460000000,1666667709950000000,333335306190000000,333346304570000000
821,122222223000000614340000000,333334026020000000,11111111444446442880000000,666668829340000000,11111112777778448460000000,1666667709950000000,333335306190000000,333346304560000000
822,122222223000000614340000000,333334024540000000,11111111444446442880000000,666668829340000000,11111112777778448460000000,1666667709060000000,333335305340000000,333346304550000000
823,122222223000000614340000000,333334024540000000,11111111444446440460000000,666668829340000000,11111112777778444900000000,1666667709060000000,333335303110000000,333346304550000000
824,122222223000000614340000000,333334024540000000,11111111444446439300000000,666668819410000000,11111112777778444900000000,1666667708950000000,333335303110000000,333346304530000000
825,122222223000000613940000000,333334023520000000,11111111444446438960000000,555557709620000000,11111112777778444900000000,1666667708950000000,333335303110000000,333346304530000000
826,122222223000000613940000000,333334023520000000,11111111444446438280000000,555557709620000000,11111112777778444580000000,1666667708850000000,333335303110000000,333346304530000000
827,122222223000000612980000000,333334023520000000,11111111444446438030000000,555557709620000000,11111112777778444580000000,1666667707440000000,333335303110000000,333346304530000000
828,122222223000000612980000000,333334023520000000,11111111444446438030000000,555557709520000000,11111112777778443570000000,1666667706040000000,333335303110000000,333346303340000000
829,122222223000000612780000000,333334023520000000,11111111444446438030000000,555557705930000000,11111112777778443570000000,1666667706040000000,333335303110000000,333346303340000000
830,122222223000000613280000000,333334022430000000,11111111444446438030000000,555557705930000000,11111112777778445630000000,1666667705570000000,333335303110000000,333346301950000000
831,122222223000000610880000000,333334021220000000,11111111444446438030000000,555557705930000000,11111112777778442900000000,1666667705570000000,333335300950000000,333346301500000000
832,122222223000000610880000000,333333910020000000,11111111444446438030000000,555557705930000000,11111112777778442900000000,1666667705570000000,333335300950000000,333346300290000000
833,122222223000000610880000000,333333909890000000,11111111444446438030000000,555557705930000000,11111112777778442900000000,1666667705570000000,333335300950000000,333346299970000000
