Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
510,11112346666669351137242110,13111113010380083110,11111111444448048662750110,777779177692608310,3444445861525234710,888891542819200410,3333335587618311110,444447168882690910
511,11112346666669325666383210,13111113009378372310,11111111444448048662750110,777779177692608310,3444445858249280810,888891530250801010,3333335587618311110,333336047054334610
512,11112346666669324038470210,13111113008235837310,11111111444448048662750110,777779177500676410,3444445858249280810,888891529420131710,3333335585161975110,333336037445747510
513,11112346666669322982575210,13111113008235837310,11111111444448048662750110,777779177485890410,3444445858249280810,888891529420131710,3333335582555896710,333336037445747510
514,11112346666669321823168110,13111113006313836310,11111111444448038270102710,777779176237176910,3444445857158689910,888891529043628310,3333335582555896710,333336037445747510
515,11112346666669320405088110,13111113006093425910,11111111444448038270102710,777779174455421810,3444445857020389310,888891529043628310,3333334345100679710,333336037445747510
516,11112346666669318864103210,13111113006093425910,11111111444448038039804810,777779172800288810,3444445855717573910,888891529043628310,3333334343835648310,333336037292694310
517,11112346666669306421015710,13111112994233781310,11111111444448038039804810,777779172648088810,3444445855717573910,888891529043628310,3333334343835648310,333336037292694310
518,11112346666669306712318410,13111112994233781310,11111111444448036834532510,777779170628380010,3444445855717573910,888891529043628310,3333334342881812110,333336037292694310
519,11112346555558198558560410,13111112991954180410,11111111444448035451449010,777779170628380010,3444445853928413910,888891529043628310,3333334342881812110,333336037024195810
520,11112346555558197515636410,13111112976976587510,11111111444448035116536710,777779172262877610,3444445853928413910,888891528039518210,3333334342881812110,333336037024195810
521,11112346555558197331183910,13111112976976587510,11111111444448024945876810,777779161376741110,3444445853928413910,888891528039518210,3333334331614090410,333336037024195810
522,11112346555558197331183910,13111112976976587510,11111111444448010745216710,777779161376741110,3444445852725303010,888891526432210810,3333334331463578910,333336037024195810
523,11112346555558197042228610,13111112976806366910,11111111444448010745216710,777779161376741110,3444445851578300810,888891526432210810,3333334331463578910,333336037024195810
524,11112346555558196841184310,13111112975728080910,11111111444448008737869710,777779160039026210,3444445851578300810,888891526341597310,3333334331463578910,333336027539427410
525,11112346555558196841184310,13111112973162761010,11111111444448008737869710,777779160039026210,3444445840806779610,888891525091020210,3333334330065060910,333336003934268610
526,11112346555558196841184310,13111112972023610310,11111111444448008737869710,666668047711951610,3444445840806779610,888891523942909510,3333334330065060910,333336003934268610
527,11112346555558196841184310,13111112972023610310,11111111444448008737869710,666668047711951610,3444445829878488110,888891523942909510,3333334330065060910,333336003934268610
528,11112346555558196629594910,13111112958272546510,11111111444448008737869710,666668047523153910,3444445829878488110,888891523942909510,3333334330065060910,333336003502202710
529,11112346555558196629594910,13111112957373011310,11111111444447982965650110,666668031918037610,3444445829878488110,888891523942909510,3333334327355822610,333336002380141910
530,11112346555558197092995010,13111112965969782510,11111111444447985852880510,666668031749905110,3444445832652897110,888891523942909510,3333334327355822610,333336002380141910
531,11112346555558186139022010,2000001854755430010,11111111444447885646880710,666668031749905110,3444445819218949210,888891523942909510,3333334327355822610,333336002257444910
532,11112346555558183713695610,2000001853646732010,11111111444447885646880710,666668023334222710,3444445819218949210,888891522920444210,3333334327355822610,333336002257444910
533,11112346555558183610981010,2000001853646732010,11111111444447883163383010,666668023086709210,3444445819218949210,888891522380906710,3333334327355822610,333335989947723210
534,11112346555558183794273910,2000001853646732010,11111111444447873598813710,666668022780172010,3444445819218949210,888891522380906710,3333334326920946210,333335989947723210
535,11112346555558183392828310,1888890743955876810,11111111444447873598813710,666668022780172010,3444445819218949210,888891522380906710,3333334324272597710,333335989036543210
536,11112346555558181122379510,1888890620028084910,11111111444447873598813710,666668024147031410,3444445819082511110,888891522380906710,3333334324272597710,333335989588428610
537,11112346555558181122379510,1888890620028084910,11111111444447873598813710,666668012490752110,3444445819082511110,888891521944019310,3333334322912950310,333335986763908110
538,11112346555558181122379510,1888890620022479810,11111111444447873598813710,666668012490752110,3444445804985850110,888891521190316810,3333334322912950310,333335986763908110
539,11112346555558178647094010,1888890607760559310,11111111444447873598813710,666668012490752110,3444445803325932910,888891521190316810,3333334320005901710,333335986763908110
540,11112346555558169390218010,1888890605797598010,11111111444447873598813710,666668011152113710,3444445802473428910,888891521190316810,3333334318133116610,333335986763908110
541,11112346555558169390218010,1888890604224195810,11111111444447873598813710,666668011152113710,3444445802473428910,888891521190316810,3333334318133116610,333335986763908110
542,11112346555558169390218010,1888890604375190810,11111111444447873598813710,666668011152113710,3444445802640463910,888891521190316810,3333334316917907610,333335986763908110
543,11112346555558169390218010,1888890594563346810,11111111444447873598813710,666668010672096710,3444445801641130210,888891520293924110,3333334316917907610,333335986763908110
544,11112346555558169215384010,1888890605882355310,11111111444447872230310210,666668010672096710,3444445801836545110,888891519434839310,3333334316917907610,333335988410884110
